year,voter_turnout_per_thousand_people, winner_becomes_presidental_nominee
1980, 104.12, 
1988, 107.63,
1996, 95.91, Dole
2000, 86.78, G. W. Bush
2007, 116.73,
2012, 121.60,
2015, 184.02,
2020, 32.51, Trump
